id,gender,masterCategory,subCategory,articleType,baseColour,season,usage,productDisplayName
6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,Casual,Doodle Kids Girls Pink I love Shopping Top
17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,Lotto Men Atlantica Black Sports Shoe
9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,Casual,Little Miss Women Printed Grey T-shirt
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,Jealous 21 Women Black Jegging
12958,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,ADIDAS Men Sports Black Sports Shoes
3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt
17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Sports,ADIDAS Men Solid Navy Blue Track Pant
46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Summer,Sports,ADIDAS Women Lavender Hagkok Sports Shoes
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,Casual,Gini and Jony Kids Boys Solid Black Shorts
54543,Men,Footwear,Shoes,Sports Shoes,White,Fall,Casual,F Sports Men White Outlander Sports Shoes
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,Formal,John Miller Men Dark Grey Trousers
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,Casual,Tantra Women Flower Heart Black Long T-shirt
32751,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,FILA Men Liga II Black Shoes
10401,Women,Apparel,Topwear,Tops,Purple,Fall,Casual,Jealous 21 Women Uaine Purple Tops
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,Casual,Tokyo Talkies Women Navy Slim Fit Jeans
45603,Men,Footwear,Shoes,Formal Shoes,Black,Summer,Formal,Arrow Men Black Formal Shoes
4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,Sports,Puma Men's YugoRun Black White Shoe
37223,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,United Colors of Benetton Women Blue Top
53766,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,Puma Men White and Navy Blue T-shirt
25520,Girls,Apparel,Topwear,Tops,White,Fall,Casual,Doodle Kids Girls City Chic White Top
32597,Women,Apparel,Topwear,Tops,Black,Summer,Casual,ONLY Women Black Top
57100,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,Elle Women Dark Pink Top
36137,Women,Footwear,Shoes,Sports Shoes,Pink,Summer,Sports,Nike Women Free Run Pink Sports Shoes
39943,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,Casual,GAS Men Brown Count Casual Shoes
8913,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,Puma Men Cabana Racer Sketch White Sports Shoes
16530,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Locomotive Men Check Red Shirt
22705,Men,Footwear,Shoes,Casual Shoes,White,Fall,Casual,Nike Men White Capri II Casual Shoe
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,Scullers Men Scul Purple White Shirt
46240,Women,Apparel,Topwear,Tops,White,Summer,Casual,Fusion Beats Women White Printed Tunic
13042,Women,Footwear,Shoes,Sandals,Brown,Winter,Casual,Inc 5 Women Brown Heels
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,Casual,Forever New Women Stone Cream Jacket
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,Basics Men Blue Slim Fit Checked Shirt
55657,Women,Footwear,Shoes,Sandals,Gold,Winter,Casual,Catwalk Women Golden Wedges
19578,Women,Apparel,Topwear,Tops,Purple,Summer,Casual,United Colors of Benetton Women Solid Purple Top
27879,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,Scullers For Her Women Blue Top
34452,Women,Footwear,Shoes,Sandals,Copper,Winter,Casual,Rocia Women Copper Sandals
6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,Casual,Classic Polo Men's Swiss Yellow T-shirt
7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Tantra Men's Black Sabbath Navy T-shirt
43500,Men,Apparel,Topwear,Tshirts,White,Summer,Casual,French Connection Men White T-shirt
2627,Women,Footwear,Shoes,Sandals,Silver,Fall,Casual,Carlton London Women Wedge Silver Sandal
31120,Girls,Apparel,Topwear,Tops,Pink,Summer,Casual,Palm Tree Girls Pink Top
11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,Casual,United Colors of Benetton Men Olive Tshirts
40385,Women,Apparel,Topwear,Tops,Yellow,Summer,Casual,Tokyo Talkies Women Yellow Top
15187,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Arrow Sport Men Solid White Polo Tshirts
5402,Women,Footwear,Shoes,Sports Shoes,Purple,,Sports,Kalenji Ekiden 200 Wn Purple 2011
14055,Men,Apparel,Topwear,Shirts,Green,Fall,Casual,Flying Machine Men Check Green Shirts
20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Wrangler Men Applique Navy Blue Tshirt
28469,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Urban Yoga Women Printed Pink T-shirt
34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,Casual,Palm Tree Boys Check Blue Shirt
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt
2243,Men,Apparel,Topwear,Tshirts,White,Fall,Sports,ADIDAS Men Stripe Polo White Polo T-shirt
33213,Women,Apparel,Topwear,Tops,Magenta,Summer,Casual,Sepia Women Printed Magenta Top
39729,Women,Apparel,Topwear,Tops,Olive,Summer,Casual,Arrow Woman Olive Top
11143,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,Scullers Men Price Catch Black Shirts
4988,Women,Apparel,Dress,Dresses,White,Summer,Casual,Gini and Jony Girl's Vanya White Polka Dot Kidswear
44341,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,Indian Terrain Men Blue T-shirt
14431,Women,Footwear,Shoes,Sandals,Black,Summer,Casual,Enroute Women Casual Black Flats
11371,Men,Apparel,Topwear,Shirts,Black,Fall,Casual,United Colors Of Benetton Men Summer Black Shirts
41401,Women,Apparel,Topwear,Tops,White,Summer,Casual,Wrangler Women White Smocked Top
4386,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Wrangler Cowboy Photo T-shirt
16154,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Enroute Men Leather Black Formal Shoes
29789,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Basics Men Pack of 3 T-shirt
7503,Men,Apparel,Topwear,Tshirts,Blue,Summer,Sports,Nike Men's As Icon Blue T-shirt
34204,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,Casual,Proline Men Navy Track Pants
50741,Men,Footwear,Shoes,Casual Shoes,Black,Winter,Casual,Red Chief Men Black Shoes
13426,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,United Colors of Benetton Men Stripes Red  Polo T-shirts
43356,Women,Footwear,Shoes,Sports Shoes,Charcoal,Summer,Sports,Reebok Women Charcoal Grey Fuel Techno Sports Shoes
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,Casual,John Miller Men Stripes Blue Shirts
12994,Boys,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,ADIDAS Kids Boys Duramo Synthetic Black Sports Shoes
46278,Women,Apparel,Topwear,Tops,Red,Summer,Casual,109F Women Red & White Striped Tunic
16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,Casual,Locomotive Men Washed Blue Jeans
19540,Men,Apparel,Topwear,Sweaters,Blue,Summer,Casual,United Colors of Benetton Men Solid Blue Sweater
7963,Men,Apparel,Topwear,Tshirts,White,Fall,Sports,Puma Men's Large Logo Graphic White French T-shirt
57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,Casual,Elle Women Brown Trousers
20856,Men,Footwear,Shoes,Casual Shoes,Black,Fall,Casual,United Colors of Benetton Men Casual Black Shoes
15983,Men,Apparel,Topwear,Shirts,Burgundy,Fall,Casual,Turtle Solid Men  Burgundy Shirt
20258,Men,Apparel,Topwear,Tshirts,Brown,Fall,Casual,Wrangler Men Polo Charcoal T-shirt
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Jealous 21 Women Washed Blue Jeans
13248,Men,Apparel,Bottomwear,Trousers,Brown,Fall,Casual,Palm Tree Kids Boy Solid Brown Trousers
43538,Women,Apparel,Topwear,Tops,Blue,Summer,Casual,French Connection Women Blue Top
8325,Boys,Apparel,Topwear,Tshirts,Yellow,Fall,Casual,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear
19772,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,Casual,ADIDAS Men Vigor Blue Casual Shoes
5862,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,ADIDAS Men's Stripe Black T-shirt
14409,Women,Footwear,Shoes,Sandals,White,Summer,Casual,Enroute Women Casual White Heels
58726,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,Puma Men Grey T-shirt
51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Denizen Women Blue Jeans
29583,Women,Footwear,Shoes,Sandals,Silver,Summer,Casual,Puma Women Grace Silver Sandals
7709,Women,Apparel,Bottomwear,Jeans,Black,Fall,Casual,Jealous 21 Women's Aaren Black Jegging
28451,Women,Apparel,Bottomwear,Track Pants,Black,Summer,Casual,Urban Yoga Women Black Track Pants
43960,Men,Apparel,Topwear,Shirts,Grey,Summer,Formal,Indigo Nation Men Grey Striped Shirt
8741,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,Casual,Indigo Nation Men Checks Shirt Navy Blue Shirts
34832,Men,Footwear,Shoes,Sports Shoes,White,Summer,Sports,ADIDAS Men Sukoi White Sports Shoes
23885,Men,Footwear,Shoes,Sports Shoes,Grey,Winter,Sports,Fila Men Grey Hex Sports Shoes
22359,Men,Apparel,Topwear,Shirts,Blue,Summer,Casual,John Players Men Check Blue Shirt
49654,Women,Apparel,Bottomwear,Skirts,Grey,Summer,Casual,Mineral Women Grey Skirt
2049,Men,Apparel,Topwear,Tshirts,White,Summer,Sports,ADIDAS Men's Slim Fit White T-shirt
41439,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,Lee Cooper Men Black Sports Shoes
11349,Men,Apparel,Bottomwear,Jeans,Blue,Summer,Casual,Lee Men Blue Chicago Fit Jeans
24892,Men,Apparel,Topwear,Tshirts,Black,Fall,Casual,United Colors of Benetton Men Black T-shirt
58514,Women,Apparel,Topwear,Tops,Grey,Summer,Casual,Tonga Women Grey Top
33825,Women,Footwear,Shoes,Sports Shoes,Silver,Summer,Sports,Puma Women Kuris Silver & Grey Sports Shoes
38637,Men,Apparel,Topwear,Tshirts,Red,Summer,Casual,Nike Men Red Delhi T-shirt
5896,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Puma Men Cavallino Black Shoe
4944,Men,Apparel,Topwear,Shirts,White,Summer,Casual,Gini and Jony Boy's Kaleb White Brown Infant Kidswear
10861,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Wrangler Men Dirt Riders White T-Shirts
17278,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,U.S. Polo Assn. Men Printed  Steeple Grey Tshirt
31588,Men,Apparel,Topwear,Tshirts,Maroon,Summer,Casual,Mark Taylor Men Printed Maroon T-shirt
49492,Men,Footwear,Shoes,Casual Shoes,Maroon,Summer,Casual,Vans Men Maroon & Grey Era Shoes
18230,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Manchester United Men Printed White Tshirt
23871,Men,Apparel,Topwear,Tshirts,Grey,Fall,Casual,ADIDAS Men Grey Striped T-shirt
9667,Men,Apparel,Topwear,Shirts,Purple,Fall,Casual,Indigo Nation Men Bling Red Black Shirts
3953,Women,Apparel,Topwear,Tshirts,Red,Summer,Casual,Jealous 21 Women's Red Peace T-shirt
12538,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,Casual,Puma Men Solid Blue Track Pants
8587,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Scullers Men Red Check Shirt
42248,Women,Apparel,Topwear,Tops,Pink,Summer,Casual,Sepia Women Pink Top
9455,Men,Apparel,Topwear,Shirts,Red,Fall,Formal,John Miller Men Red Striped Shirt
32903,Women,Apparel,Bottomwear,Shorts,Red,Summer,Casual,Allen Solly Women Red Shorts
6079,Men,Apparel,Topwear,Tshirts,Grey,Summer,Casual,UCB Men's Johny Collar With Two Tone Grey T-shirt
12960,Men,Footwear,Shoes,Sports Shoes,White,Fall,Sports,ADIDAS Men Sports White Sports Shoes
29321,Men,Apparel,Topwear,Tshirts,Black,Summer,Sports,ADIDAS Men Black Jersey
9031,Men,Footwear,Shoes,Casual Shoes,Tan,Winter,Casual,Buckaroo Men loma Tan Casual Shoes
26369,Women,Apparel,Topwear,Shirts,Blue,Summer,Casual,Arrow Woman Blue Shirt
33489,Men,Apparel,Topwear,Shirts,Green,Summer,Casual,Doodle Kids Boy Check Green Shirt
59056,Women,Footwear,Shoes,Casual Shoes,Blue,Winter,Casual,Carlton London Women Blue & Cream Shoes
15379,Men,Footwear,Shoes,Casual Shoes,Black,Summer,Casual,Fila Men Lobato Black Casual Shoes
45409,Women,Footwear,Shoes,Sandals,Black,Winter,Casual,Rocia Women Black & Brown Sandals
56822,Men,Apparel,Bottomwear,Trousers,Beige,Summer,Casual,John Players Men Beige Shorts
39381,Men,Apparel,Bottomwear,Jeans,Black,Summer,Casual,Peter England Men Party Black Jeans
15977,Men,Apparel,Topwear,Shirts,Red,Fall,Casual,Turtle Solid Men Red Shirt
32769,Men,Apparel,Topwear,Tshirts,Blue,Spring,Casual,Music Men Printed Blue T-shirt
10439,Men,Apparel,Topwear,Tshirts,Brown,Fall,Casual,Flying Machine Men Walnut Brown Tshirts
14099,Women,Apparel,Topwear,Tops,Pink,Fall,Casual,Flying Machine Women Solid Pink Tops
1852,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,Inkfruit Men Ride It Or Die T-shirt
30802,Men,Apparel,Topwear,Shirts,Blue,Summer,Ethnic,Fabindia Men Blue Shirt
7399,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal,Red Tape Men's Black Formal Shoe
26967,Women,Apparel,Topwear,Tops,Navy Blue,Summer,Casual,Jealous 21 Women Check Navy Blue Top
9203,Men,Footwear,Shoes,Sports Shoes,Black,Fall,Sports,Puma Men Axis XT Black Shoes
19786,Men,Apparel,Topwear,Tshirts,Navy Blue,Winter,Casual,U.S. Polo Assn. Men Solid Navy Blue Tshirt
44948,Men,Footwear,Shoes,Sports Shoes,Black,Summer,Sports,Puma Men Black Aquil II Sports Shoes
24091,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,Casual,Manchester United Men Navy Blue Striped T-shirt
41406,Women,Apparel,Topwear,Tshirts,Pink,Summer,Casual,Wrangler Women Pink T-shirt
11376,Women,Apparel,Topwear,Tops,Grey,Fall,Casual,United Colors Of Benetton Women Light Winter Grey Tops
4381,Men,Apparel,Topwear,Tshirts,Blue,Summer,Casual,Superman Men's Silhouette Light Blue T-shirt
7504,Women,Apparel,Topwear,Tshirts,Pink,Summer,Sports,Nike Women's Smash Pink T-shirt
22366,Men,Apparel,Topwear,Tshirts,White,Fall,Casual,Ed Hardy Men New Tiger White T-Shirt
16153,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Enroute Men Leather Black Formal Shoes
50746,Men,Footwear,Shoes,Formal Shoes,Black,Winter,Formal,Red Chief Men Black Formal Shoes
34203,Men,Apparel,Bottomwear,Track Pants,Charcoal,Winter,Casual,Proline Men Charcoal Grey Track Pants
13421,Men,Apparel,Topwear,Tshirts,Black,Summer,Casual,United Colors of Benetton Men Stripes Black Polo T-shirts
27614,Men,Apparel,Bottomwear,Trousers,Beige,Summer,Casual,Scullers Men Beige Trousers
22154,Men,Footwear,Shoes,Formal Shoes,Black,Fall,Formal,Lee Cooper Men Black Formal Shoes
16361,Men,Apparel,Topwear,Shirts,Maroon,Fall,Formal,Peter England Men Stripes Maroon Shirt
46411,Men,Apparel,Topwear,Sweaters,Black,Summer,Casual,ADIDAS Men Black Sweatshirt
31543,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,Casual,Classic Polo Men Striped Navy Blue T-shirt
19329,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,Casual,Puma Men Standpunkt Brown Casual Shoes
27426,Women,Apparel,Bottomwear,Shorts,Grey Melange,Winter,Casual,Jockey Women Grey Melange Shorts
2244,Women,Apparel,Topwear,Tshirts,Black,Fall,Casual,ADIDAS Women's Black T-shirt
33214,Women,Apparel,Topwear,Tops,Black,Summer,Casual,Sepia Women Printed Black & Green Tunic
10096,Women,Footwear,Shoes,Sports Shoes,Blue,Fall,Sports,Reebok Women Reeflex Run Blue Sports Shoes
34455,Women,Footwear,Shoes,Sandals,Black,Spring,Formal,Rocia Women Black Shoes
6280,Men,Apparel,Topwear,Tshirts,Pink,Summer,Casual,UCB Men's Making Light Pink T-shirt
7352,Men,Apparel,Topwear,Tshirts,Purple,Fall,Casual,Tantra Men's Whatever Purple T-shirt
2620,Men,Apparel,Topwear,Tshirts,Blue,Fall,Sports,Nike Men's Colors Team India T-shirt
